feature,mean_abs_shap
Transaction_Amount,0.37742388
IP_x_Velocity,0.30611327
Login_Anomalies,0.29657316
New_Device,0.20471385
Account_Age_Days,0.19185962
Failed_Payment_Rate,0.1759834
Shipping_Billing_Mismatch,0.17597698
Transactions_Last_24H,0.16205445
VPN_Proxy_Used,0.14613314
Velocity_Score,0.12158026
Transactions_Last_7D,0.12010156
Discount_Percentage,0.110386945
Log_Transaction_Amount,0.08975057
High_Risk_Country,0.08295161
IP_Risk_Score,0.068498686
Previous_Chargebacks,0.0661262
Merchant_Risk_Score,0.057762373
IP_x_Merchant,0.055996496
Failed_Payment_Attempts,0.034941997
Log_Transactions_Last_24H,0.03344576
